employee_id,age,gender,marital_status,education_level,education_field,department_id,job_role,business_travel,distance_from_home
159,30,Male,Divorced,Bachelor,Life Sciences,2,Research Scientist,Travel_Frequently,23
160,33,Male,Married,College,Marketing,1,Sales Executive,Non-Travel,22
161,56,Female,Married,Master,Life Sciences,2,Research Scientist,Travel_Rarely,14
162,51,Male,Single,Bachelor,Life Sciences,2,Research Director,Travel_Rarely,6
163,31,Male,Married,Master,Life Sciences,1,Sales Executive,Travel_Rarely,6
164,26,Female,Married,Bachelor,Other,2,Research Scientist,Travel_Rarely,6
165,58,Female,Married,Master,Medical,2,Healthcare Representative,Travel_Rarely,23
167,19,Male,Single,Below College,Marketing,1,Sales Representative,Travel_Rarely,22
169,22,Male,Married,Below College,Technical Degree,2,Laboratory Technician,Travel_Rarely,2
170,49,Female,Married,Master,Medical,2,Manufacturing Director,Travel_Rarely,20
171,43,Female,Single,Bachelor,Medical,2,Research Scientist,Travel_Frequently,28
174,50,Female,Single,Bachelor,Marketing,1,Sales Executive,Travel_Frequently,12
175,31,Female,Married,Bachelor,Life Sciences,1,Sales Executive,Travel_Rarely,20
176,41,Male,Divorced,Below College,Life Sciences,1,Sales Executive,Travel_Rarely,9
177,26,Female,Married,Below College,Life Sciences,3,Human Resources,Travel_Rarely,25
178,36,Male,Divorced,College,Medical,2,Manufacturing Director,Travel_Rarely,6
179,51,Male,Single,Master,Life Sciences,2,Manufacturing Director,Travel_Frequently,8
182,39,Female,Married,Master,Life Sciences,1,Sales Executive,Travel_Rarely,4
183,25,Male,Married,Bachelor,Life Sciences,1,Sales Executive,Travel_Rarely,28
184,30,Male,Married,Bachelor,Human Resources,3,Human Resources,Travel_Rarely,9
190,32,Female,Single,Bachelor,Medical,2,Laboratory Technician,Travel_Rarely,9
192,45,Male,Single,Bachelor,Medical,2,Research Scientist,Travel_Rarely,29
193,38,Female,Single,Doctor,Technical Degree,2,Research Scientist,Travel_Rarely,3
194,30,Female,Single,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,18
195,32,Male,Divorced,College,Medical,1,Sales Executive,Travel_Frequently,9
197,30,Female,Divorced,Bachelor,Technical Degree,2,Research Scientist,Travel_Rarely,5
198,30,Male,Single,Below College,Medical,2,Laboratory Technician,Travel_Rarely,2
199,41,Male,Divorced,Bachelor,Life Sciences,2,Manager,Travel_Frequently,10
200,41,Male,Married,Master,Life Sciences,2,Laboratory Technician,Travel_Rarely,9
201,19,Female,Single,Below College,Medical,2,Laboratory Technician,Travel_Rarely,3
202,40,Female,Divorced,Bachelor,Medical,2,Research Scientist,Travel_Frequently,26
204,35,Male,Married,Doctor,Marketing,1,Sales Executive,Travel_Rarely,1
205,53,Male,Married,College,Marketing,1,Sales Representative,Travel_Rarely,6
206,45,Male,Divorced,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Rarely,9
207,32,Female,Single,Bachelor,Marketing,1,Sales Executive,Travel_Frequently,8
208,29,Male,Married,Below College,Technical Degree,2,Manufacturing Director,Non-Travel,1
211,51,Male,Married,Master,Medical,2,Manufacturing Director,Travel_Rarely,7
214,58,Female,Married,Bachelor,Medical,2,Research Scientist,Travel_Rarely,9
215,40,Male,Married,Master,Marketing,1,Sales Executive,Travel_Rarely,4
216,34,Female,Married,Master,Marketing,1,Sales Representative,Travel_Frequently,2
217,22,Male,Married,Below College,Medical,2,Research Scientist,Travel_Rarely,19
218,27,Male,Divorced,Bachelor,Medical,2,Research Scientist,Non-Travel,9
221,28,Male,Married,Bachelor,Medical,2,Research Scientist,Travel_Rarely,21
223,57,Male,Divorced,College,Life Sciences,2,Healthcare Representative,Travel_Rarely,24
224,27,Male,Divorced,Bachelor,Medical,2,Research Scientist,Non-Travel,3
226,50,Female,Single,Bachelor,Life Sciences,2,Manager,Travel_Rarely,11
227,41,Male,Divorced,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,14
228,30,Female,Married,Bachelor,Life Sciences,1,Sales Executive,Travel_Rarely,5
230,38,Female,Single,Master,Life Sciences,1,Sales Executive,Travel_Rarely,1
231,32,Male,Single,Doctor,Life Sciences,2,Research Scientist,Travel_Rarely,6
233,27,Male,Married,Bachelor,Technical Degree,2,Research Scientist,Travel_Rarely,17
235,19,Female,Single,Below College,Technical Degree,1,Sales Representative,Travel_Frequently,1
238,36,Male,Single,College,Medical,2,Laboratory Technician,Travel_Frequently,3
239,30,Male,Divorced,Bachelor,Medical,2,Laboratory Technician,Non-Travel,9
240,45,Female,Divorced,College,Life Sciences,1,Sales Executive,Travel_Rarely,4
241,56,Female,Divorced,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,8
242,33,Male,Single,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,2
243,19,Male,Single,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Rarely,2
244,46,Female,Divorced,College,Marketing,1,Sales Executive,Travel_Rarely,1
245,38,Female,Single,College,Life Sciences,2,Laboratory Technician,Travel_Rarely,9
246,31,Female,Married,Below College,Medical,2,Research Scientist,Travel_Rarely,12
247,34,Female,Single,College,Medical,2,Research Scientist,Travel_Rarely,27
248,41,Female,Single,College,Marketing,1,Sales Representative,Travel_Rarely,20
249,50,Male,Married,Bachelor,Medical,2,Laboratory Technician,Travel_Rarely,1
250,53,Female,Divorced,College,Medical,2,Manufacturing Director,Travel_Rarely,13
252,33,Female,Married,Bachelor,Medical,2,Research Scientist,Travel_Rarely,14
253,40,Female,Married,Below College,Medical,2,Manager,Travel_Rarely,4
254,55,Male,Single,Master,Medical,2,Research Director,Travel_Rarely,14
256,34,Male,Married,Below College,Life Sciences,2,Manufacturing Director,Travel_Frequently,2
258,51,Female,Single,Bachelor,Medical,2,Healthcare Representative,Travel_Rarely,3
259,52,Male,Married,Master,Life Sciences,2,Manager,Travel_Rarely,1
260,27,Female,Single,Bachelor,Medical,2,Research Scientist,Travel_Rarely,9
261,35,Male,Married,College,Life Sciences,2,Manufacturing Director,Travel_Rarely,23
262,43,Male,Divorced,Bachelor,Medical,2,Research Scientist,Non-Travel,7
264,45,Male,Married,College,Medical,2,Manager,Non-Travel,2
267,37,Male,Married,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,21
269,35,Female,Single,Bachelor,Medical,2,Laboratory Technician,Travel_Frequently,2
270,42,Female,Divorced,College,Medical,2,Manufacturing Director,Non-Travel,21
271,38,Male,Married,Master,Life Sciences,2,Manufacturing Director,Travel_Rarely,2
273,38,Male,Married,Bachelor,Technical Degree,2,Manufacturing Director,Travel_Rarely,29
274,27,Male,Married,Below College,Technical Degree,2,Manufacturing Director,Travel_Frequently,1
275,49,Male,Divorced,Master,Life Sciences,2,Manufacturing Director,Non-Travel,18
277,34,Male,Divorced,Master,Medical,2,Research Scientist,Travel_Frequently,10
281,40,Male,Married,College,Medical,2,Laboratory Technician,Travel_Rarely,19
282,38,Male,Married,Below College,Medical,2,Healthcare Representative,Travel_Rarely,29
283,29,Female,Married,Bachelor,Marketing,1,Sales Executive,Travel_Rarely,27
284,22,Male,Divorced,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,5
286,36,Female,Single,Below College,Medical,2,Laboratory Technician,Travel_Frequently,18
287,40,Male,Married,Doctor,Life Sciences,2,Healthcare Representative,Non-Travel,9
288,46,Male,Divorced,Master,Medical,2,Healthcare Representative,Travel_Rarely,1
291,32,Male,Married,Master,Medical,1,Sales Executive,Travel_Rarely,4
292,30,Male,Single,Below College,Life Sciences,2,Manufacturing Director,Non-Travel,1
293,27,Female,Single,Bachelor,Life Sciences,1,Sales Executive,Travel_Frequently,20
296,51,Male,Married,Master,Life Sciences,2,Research Director,Travel_Rarely,8
297,30,Female,Single,Bachelor,Technical Degree,2,Research Scientist,Travel_Rarely,3
298,41,Female,Single,Bachelor,Life Sciences,1,Manager,Travel_Rarely,6
299,30,Female,Single,Master,Marketing,1,Sales Executive,Travel_Frequently,26
300,29,Male,Single,Bachelor,Technical Degree,2,Research Scientist,Travel_Rarely,1
302,45,Female,Single,Bachelor,Medical,1,Sales Executive,Non-Travel,6
303,54,Female,Married,Bachelor,Marketing,1,Sales Executive,Travel_Rarely,3
304,36,Male,Single,College,Life Sciences,2,Laboratory Technician,Travel_Rarely,5
305,33,Female,Married,Master,Medical,2,Research Scientist,Travel_Rarely,4
306,37,Male,Divorced,Bachelor,Other,2,Research Director,Travel_Frequently,11
307,38,Male,Divorced,Bachelor,Life Sciences,1,Sales Executive,Travel_Rarely,3
308,31,Male,Married,Master,Medical,2,Manufacturing Director,Non-Travel,1
309,59,Male,Married,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,3
311,37,Male,Divorced,Master,Marketing,1,Sales Representative,Travel_Frequently,4
312,29,Female,Married,Below College,Medical,1,Sales Executive,Travel_Frequently,1
314,35,Female,Single,Bachelor,Marketing,1,Sales Executive,Travel_Frequently,1
315,29,Male,Single,Below College,Medical,2,Research Scientist,Travel_Rarely,18
316,52,Female,Single,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Rarely,2
319,42,Male,Married,College,Technical Degree,2,Manager,Travel_Rarely,4
321,59,Male,Married,College,Medical,3,Human Resources,Travel_Rarely,6
323,50,Female,Divorced,Master,Medical,1,Manager,Travel_Rarely,1
325,33,Male,Married,Bachelor,Medical,2,Laboratory Technician,Travel_Rarely,14
327,43,Female,Married,Bachelor,Marketing,1,Manager,Travel_Rarely,16
328,33,Female,Married,College,Life Sciences,2,Laboratory Technician,Travel_Rarely,2
329,52,Male,Single,Master,Life Sciences,1,Manager,Non-Travel,2
330,32,Female,Married,College,Life Sciences,1,Sales Representative,Travel_Rarely,4
331,32,Male,Single,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Rarely,1
332,39,Female,Divorced,Master,Medical,2,Laboratory Technician,Travel_Rarely,1
333,32,Male,Married,Master,Marketing,1,Sales Executive,Non-Travel,26
334,41,Male,Divorced,College,Life Sciences,2,Research Scientist,Travel_Rarely,19
335,40,Male,Divorced,College,Technical Degree,2,Research Scientist,Travel_Rarely,24
336,45,Male,Married,Bachelor,Other,2,Manager,Travel_Rarely,1
337,31,Male,Divorced,Master,Medical,2,Research Director,Travel_Frequently,3
338,33,Female,Married,Master,Life Sciences,2,Research Scientist,Travel_Rarely,5
339,34,Male,Married,Master,Life Sciences,2,Manufacturing Director,Travel_Rarely,2
340,37,Female,Married,College,Medical,2,Research Scientist,Travel_Rarely,1
341,45,Male,Married,Master,Life Sciences,2,Manufacturing Director,Travel_Frequently,7
342,37,Male,Divorced,Bachelor,Medical,2,Manufacturing Director,Travel_Frequently,10
343,39,Female,Single,Master,Technical Degree,2,Healthcare Representative,Travel_Frequently,2
346,29,Male,Single,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,15
347,42,Female,Single,College,Life Sciences,2,Research Scientist,Travel_Rarely,17
349,29,Male,Divorced,College,Marketing,1,Sales Executive,Travel_Rarely,20
350,25,Female,Married,Bachelor,Life Sciences,2,Manufacturing Director,Travel_Rarely,1
351,42,Female,Divorced,Bachelor,Medical,2,Laboratory Technician,Travel_Rarely,2
352,40,Male,Divorced,College,Medical,2,Research Director,Travel_Rarely,2
353,51,Male,Married,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,1
355,31,Male,Single,College,Medical,2,Laboratory Technician,Travel_Frequently,29
359,32,Male,Married,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Frequently,7
361,38,Male,Married,College,Life Sciences,1,Sales Executive,Non-Travel,2
362,32,Male,Single,Below College,Technical Degree,2,Laboratory Technician,Travel_Rarely,2
363,46,Female,Married,Bachelor,Technical Degree,1,Manager,Travel_Rarely,2
364,28,Male,Single,Master,Life Sciences,2,Laboratory Technician,Travel_Rarely,2
366,29,Male,Married,Bachelor,Medical,1,Sales Executive,Travel_Rarely,2
367,31,Male,Married,Bachelor,Medical,2,Healthcare Representative,Travel_Rarely,23
369,25,Male,Divorced,College,Life Sciences,2,Healthcare Representative,Non-Travel,5
372,45,Male,Married,College,Medical,2,Healthcare Representative,Travel_Rarely,20
373,36,Male,Married,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Rarely,6
374,55,Male,Single,Bachelor,Medical,2,Manager,Travel_Rarely,1
376,47,Male,Married,Master,Life Sciences,2,Manager,Non-Travel,29
377,28,Male,Married,Bachelor,Medical,2,Research Scientist,Travel_Rarely,9
378,37,Male,Married,Master,Medical,1,Sales Executive,Travel_Rarely,6
379,21,Male,Single,College,Medical,2,Research Scientist,Travel_Rarely,3
380,37,Female,Divorced,Master,Medical,2,Research Director,Non-Travel,1
381,35,Female,Divorced,Bachelor,Life Sciences,2,Manager,Travel_Rarely,22
382,38,Female,Divorced,College,Medical,1,Sales Executive,Travel_Rarely,7
384,26,Female,Divorced,Bachelor,Life Sciences,2,Manufacturing Director,Travel_Frequently,1
385,50,Male,Divorced,Below College,Life Sciences,2,Research Director,Travel_Rarely,4
386,53,Male,Married,Master,Medical,2,Research Director,Travel_Rarely,3
387,42,Male,Married,Below College,Life Sciences,1,Sales Executive,Travel_Rarely,1
388,29,Male,Single,College,Life Sciences,1,Sales Executive,Travel_Frequently,2
389,55,Male,Married,College,Technical Degree,2,Laboratory Technician,Travel_Rarely,20
390,26,Male,Married,College,Medical,2,Healthcare Representative,Travel_Frequently,11
391,37,Female,Single,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,1
392,44,Male,Divorced,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Frequently,24
393,38,Male,Divorced,Master,Life Sciences,2,Healthcare Representative,Travel_Rarely,23
394,26,Male,Divorced,Master,Medical,2,Laboratory Technician,Travel_Rarely,16
395,28,Female,Single,College,Life Sciences,2,Research Scientist,Travel_Rarely,8
396,49,Female,Single,Master,Life Sciences,2,Research Director,Travel_Frequently,10
397,36,Male,Single,Bachelor,Technical Degree,2,Research Scientist,Travel_Rarely,3
399,31,Female,Divorced,Bachelor,Marketing,1,Sales Representative,Travel_Frequently,5
401,26,Male,Single,Master,Marketing,1,Sales Executive,Travel_Rarely,4
403,37,Male,Married,Bachelor,Medical,2,Research Scientist,Travel_Frequently,9
404,42,Female,Married,Bachelor,Marketing,1,Sales Executive,Travel_Frequently,26
405,18,Male,Single,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Rarely,3
406,35,Male,Married,Bachelor,Marketing,1,Sales Executive,Travel_Rarely,16
407,36,Male,Married,Master,Life Sciences,2,Laboratory Technician,Travel_Frequently,18
408,51,Male,Divorced,Bachelor,Medical,2,Manufacturing Director,Travel_Rarely,2
410,41,Male,Single,Master,Life Sciences,1,Manager,Travel_Rarely,2
411,18,Female,Single,Bachelor,Medical,1,Sales Representative,Travel_Rarely,10
412,28,Male,Single,College,Medical,2,Healthcare Representative,Travel_Rarely,16
416,31,Male,Married,Bachelor,Technical Degree,1,Sales Executive,Travel_Rarely,7
417,39,Male,Divorced,Bachelor,Medical,2,Healthcare Representative,Travel_Rarely,1
419,36,Female,Married,Master,Life Sciences,2,Laboratory Technician,Non-Travel,24
420,32,Male,Married,Bachelor,Life Sciences,1,Sales Executive,Travel_Rarely,7
421,38,Female,Married,College,Life Sciences,2,Research Director,Travel_Rarely,25
422,58,Male,Divorced,Master,Life Sciences,2,Healthcare Representative,Non-Travel,1
423,31,Male,Married,Master,Technical Degree,2,Research Scientist,Travel_Rarely,5
424,31,Male,Married,Bachelor,Human Resources,3,Human Resources,Travel_Rarely,2
425,45,Male,Divorced,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Frequently,7
426,31,Male,Divorced,Master,Life Sciences,2,Research Scientist,Travel_Rarely,2
428,33,Female,Married,Master,Life Sciences,2,Manager,Travel_Frequently,5
429,39,Male,Married,Below College,Medical,2,Manager,Travel_Rarely,10
430,43,Female,Single,Master,Life Sciences,2,Laboratory Technician,Travel_Frequently,10
431,49,Female,Single,College,Technical Degree,2,Healthcare Representative,Travel_Rarely,1
433,52,Male,Married,Master,Medical,2,Research Scientist,Travel_Rarely,8
434,27,Female,Single,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,5
436,32,Female,Married,College,Technical Degree,1,Sales Executive,Travel_Rarely,8
437,27,Male,Single,Bachelor,Life Sciences,1,Sales Executive,Travel_Rarely,2
438,31,Male,Divorced,Bachelor,Marketing,1,Sales Executive,Travel_Rarely,7
439,32,Female,Single,Master,Medical,2,Research Scientist,Travel_Rarely,2
440,28,Male,Married,Master,Medical,2,Research Scientist,Travel_Rarely,2
441,30,Female,Married,College,Medical,2,Research Scientist,Travel_Rarely,28
442,31,Female,Married,College,Life Sciences,2,Manufacturing Director,Travel_Frequently,7
444,39,Male,Married,College,Medical,2,Manager,Travel_Frequently,7
445,39,Female,Married,College,Medical,1,Sales Executive,Travel_Rarely,3
446,33,Male,Single,Bachelor,Marketing,1,Sales Executive,Travel_Frequently,10
447,47,Male,Married,Doctor,Life Sciences,2,Research Director,Travel_Rarely,5
448,43,Female,Divorced,Master,Life Sciences,2,Laboratory Technician,Travel_Frequently,10
449,27,Male,Married,Below College,Marketing,1,Sales Executive,Non-Travel,1
450,54,Female,Single,Master,Life Sciences,2,Research Scientist,Travel_Frequently,20
451,43,Female,Married,Bachelor,Life Sciences,2,Healthcare Representative,Travel_Rarely,7
452,45,Male,Married,Master,Other,2,Research Scientist,Travel_Rarely,8
453,40,Male,Married,College,Medical,1,Sales Executive,Travel_Rarely,1
454,29,Male,Married,Master,Other,2,Laboratory Technician,Travel_Rarely,8
455,29,Male,Single,Doctor,Other,2,Laboratory Technician,Travel_Rarely,9
456,30,Female,Divorced,Bachelor,Marketing,1,Sales Executive,Travel_Rarely,5
458,27,Female,Married,Master,Marketing,1,Sales Executive,Travel_Rarely,8
460,37,Male,Divorced,College,Medical,2,Manufacturing Director,Travel_Rarely,5
461,38,Male,Divorced,College,Life Sciences,2,Research Director,Travel_Rarely,15
462,31,Female,Single,Master,Medical,2,Manufacturing Director,Travel_Rarely,7
463,29,Female,Divorced,Below College,Marketing,1,Sales Executive,Travel_Rarely,10
464,35,Male,Single,Master,Technical Degree,2,Manufacturing Director,Travel_Rarely,5
