employee_id ,attrition,environment_satisfaction,job_involvement,job_level,job_satisfaction,num_companies_worked,over_18,overTime,performance_rating,relationship_satisfaction,standard_hours,total_working_years,training_time_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_currmanager
51,No,2,2,1,1,9,Y,Yes,3,4,80,6,3,4,1,1,0,0
52,No,3,4,2,1,2,Y,No,3,1,80,10,3,3,5,3,1,3
53,No,3,3,1,4,1,Y,No,3,3,80,1,3,3,1,0,0,0
54,No,4,3,1,1,1,Y,No,3,4,80,1,6,3,1,0,0,0
55,Yes,1,1,1,3,1,Y,No,3,3,80,1,2,2,1,0,0,1
56,No,4,3,3,3,1,Y,No,3,4,80,9,0,3,9,8,1,7
57,No,3,3,2,4,1,Y,No,4,4,80,12,2,3,12,8,3,7
58,Yes,2,3,5,3,1,Y,No,3,4,80,23,0,3,22,15,15,8
60,No,2,3,2,3,0,Y,No,4,3,80,10,2,3,9,5,8,7
61,No,2,3,1,2,4,Y,No,4,1,80,8,1,3,1,0,0,0
62,No,1,3,2,4,4,Y,Yes,4,3,80,14,4,3,9,6,0,8
63,No,4,4,1,4,1,Y,No,3,4,80,1,2,3,1,0,0,1
64,Yes,1,2,3,3,9,Y,Yes,3,4,80,23,2,3,1,0,0,0
65,Yes,3,3,1,3,1,Y,Yes,3,3,80,2,3,2,2,2,2,2
68,No,2,3,2,1,5,Y,Yes,4,3,80,9,2,2,4,3,1,3
70,No,3,2,3,1,2,Y,Yes,3,3,80,10,3,3,4,0,2,3
72,No,3,2,2,4,7,Y,Yes,3,3,80,5,2,2,2,2,0,0
73,No,1,3,3,4,1,Y,Yes,3,3,80,15,1,3,15,14,8,12
74,No,2,3,3,1,1,Y,No,4,4,80,9,3,2,9,8,1,8
75,No,3,3,1,1,3,Y,Yes,3,3,80,4,3,3,2,2,2,2
76,No,4,3,2,4,3,Y,No,4,4,80,10,3,2,7,7,1,7
77,No,1,2,2,3,1,Y,No,3,3,80,7,2,4,7,5,0,7
78,No,1,3,2,4,1,Y,Yes,4,2,80,9,3,3,9,8,7,8
79,No,4,3,2,4,1,Y,No,3,4,80,10,2,3,10,3,9,9
80,No,2,2,5,3,5,Y,Yes,3,4,80,29,2,2,27,3,13,8
81,No,1,3,3,1,7,Y,No,3,4,80,28,3,2,21,16,7,9
83,No,3,3,3,3,1,Y,No,3,2,80,17,2,3,17,14,12,8
84,No,4,3,4,3,2,Y,Yes,3,3,80,21,2,3,5,0,0,2
85,No,2,2,2,2,1,Y,No,3,3,80,6,3,3,6,5,0,3
86,No,2,3,3,1,2,Y,No,3,3,80,25,2,3,1,0,0,0
88,No,2,3,1,1,4,Y,No,3,4,80,5,2,2,3,2,1,2
90,Yes,4,2,1,3,0,Y,Yes,3,1,80,2,0,2,1,0,0,0
91,No,1,2,2,3,7,Y,No,3,4,80,20,2,2,4,3,1,3
94,No,3,3,1,2,0,Y,No,4,4,80,6,3,3,5,4,0,4
95,No,3,3,1,2,1,Y,No,3,2,80,1,4,3,1,1,1,0
96,No,2,3,2,2,1,Y,No,3,2,80,10,3,3,10,4,0,9
97,No,2,4,1,4,3,Y,No,3,2,80,5,3,3,1,0,0,0
98,No,3,3,2,4,1,Y,No,4,4,80,11,2,3,11,7,1,8
100,No,3,2,2,1,0,Y,No,3,2,80,16,2,3,15,13,2,8
101,No,4,3,3,1,4,Y,Yes,3,2,80,17,3,4,0,0,0,0
102,No,1,3,3,3,4,Y,No,3,1,80,16,3,4,5,2,0,2
103,No,2,3,2,2,8,Y,Yes,4,4,80,16,2,3,4,2,0,2
104,No,4,2,2,4,1,Y,Yes,3,3,80,10,1,2,10,8,3,0
105,No,2,2,1,3,1,Y,No,3,1,80,6,3,3,6,4,0,4
106,No,1,3,3,4,3,Y,No,3,4,80,24,4,3,1,0,1,0
107,No,2,1,2,4,7,Y,Yes,3,4,80,17,3,3,13,11,1,9
110,No,1,3,2,2,1,Y,No,3,3,80,5,2,3,5,2,1,3
112,No,4,1,3,4,4,Y,No,3,1,80,37,3,2,6,4,0,2
113,No,3,3,1,1,3,Y,No,3,3,80,3,3,3,0,0,0,0
116,No,4,3,1,4,3,Y,No,4,2,80,10,4,3,4,2,0,3
117,No,3,2,2,4,1,Y,No,3,1,80,11,3,3,11,10,10,8
118,Yes,3,2,3,4,1,Y,No,3,4,80,9,3,3,9,8,4,7
119,No,3,2,4,2,1,Y,No,4,4,80,22,3,2,22,3,11,11
120,No,3,3,2,4,0,Y,Yes,4,4,80,11,2,1,10,7,1,0
121,No,3,2,2,2,1,Y,Yes,3,2,80,11,4,2,11,8,2,7
124,No,3,2,3,1,2,Y,Yes,3,3,80,21,5,2,10,9,9,5
125,No,2,3,2,3,1,Y,No,3,1,80,12,0,3,11,8,5,7
126,No,1,3,3,3,9,Y,No,3,1,80,16,5,1,4,3,0,3
128,No,1,3,2,3,0,Y,No,4,1,80,4,2,2,3,2,0,2
129,No,2,3,2,3,1,Y,No,3,2,80,5,3,4,5,4,0,4
131,No,4,3,4,3,0,Y,No,3,3,80,38,1,2,37,10,1,8
132,No,2,3,2,2,4,Y,No,3,3,80,17,3,4,3,2,1,2
133,Yes,3,3,1,1,4,Y,Yes,4,4,80,7,3,3,3,2,0,2
134,No,4,3,1,1,1,Y,No,3,4,80,1,2,3,1,0,0,0
137,Yes,4,2,1,4,1,Y,Yes,3,2,80,1,5,3,1,0,1,0
138,No,1,3,2,3,1,Y,No,3,3,80,16,3,3,16,13,2,10
139,No,3,2,2,4,5,Y,No,3,4,80,17,2,4,1,0,0,0
140,No,3,2,5,4,9,Y,No,4,4,80,30,3,3,3,2,2,2
141,No,1,3,5,2,3,Y,Yes,3,1,80,28,1,2,8,3,0,7
142,Yes,3,2,2,3,1,Y,Yes,3,4,80,6,1,3,6,4,0,3
143,No,4,2,1,4,1,Y,No,3,3,80,2,2,3,2,2,2,1
144,No,2,3,1,4,1,Y,No,3,3,80,1,5,3,0,0,0,0
145,No,1,2,3,1,3,Y,No,4,3,80,23,1,2,13,12,12,8
147,Yes,1,1,2,3,1,Y,Yes,4,4,80,9,3,3,9,7,0,6
148,No,4,4,4,4,2,Y,Yes,3,3,80,23,3,3,5,3,4,4
150,No,2,3,1,3,0,Y,No,3,3,80,6,2,3,5,3,1,2
151,No,3,2,2,2,6,Y,No,3,3,80,12,3,3,1,0,0,0
152,No,3,3,3,4,2,Y,No,3,1,80,12,3,3,5,3,1,3
153,No,3,2,3,1,2,Y,No,3,4,80,14,6,3,11,10,5,8
154,No,2,3,3,4,0,Y,No,3,3,80,10,6,3,9,7,2,8
155,No,1,3,1,4,5,Y,No,4,1,80,7,2,3,1,0,0,0
158,No,3,3,4,4,1,Y,Yes,3,4,80,25,3,4,25,12,4,12
159,No,1,1,1,3,1,Y,No,4,3,80,10,2,2,10,7,0,9
160,No,3,3,2,2,0,Y,No,3,1,80,8,2,4,7,7,0,7
161,Yes,2,3,1,2,9,Y,Yes,3,1,80,7,2,3,5,4,4,3
162,No,1,3,5,3,7,Y,No,3,3,80,23,5,3,20,18,15,15
163,Yes,2,1,2,3,4,Y,Yes,3,2,80,12,3,2,7,7,7,7
164,No,3,2,1,2,1,Y,No,3,3,80,5,3,2,5,4,4,3
165,Yes,4,3,3,4,1,Y,No,3,4,80,40,3,2,40,10,15,6
167,Yes,4,3,1,3,1,Y,Yes,3,4,80,0,2,2,0,0,0,0
169,No,3,3,1,4,0,Y,No,3,3,80,3,2,3,2,1,2,1
170,No,3,3,2,1,1,Y,No,3,3,80,16,2,2,15,11,5,11
171,No,2,4,1,3,4,Y,No,3,4,80,18,2,3,3,2,1,2
174,No,3,3,3,4,4,Y,No,3,4,80,16,3,3,2,2,2,1
175,Yes,2,1,2,3,3,Y,Yes,3,3,80,4,2,3,2,2,2,2
176,No,3,3,3,3,3,Y,Yes,3,3,80,12,2,3,9,7,0,7
177,No,3,3,1,3,1,Y,No,4,4,80,8,3,3,8,7,5,7
178,No,2,3,2,2,6,Y,No,4,4,80,7,0,3,3,2,0,1
179,Yes,1,1,3,4,2,Y,No,3,4,80,18,2,3,4,2,0,3
182,No,4,2,2,3,4,Y,No,3,3,80,17,1,4,15,11,5,9
183,No,1,2,2,3,2,Y,No,3,4,80,6,3,3,2,2,2,2
184,No,3,3,2,4,0,Y,Yes,3,4,80,12,2,1,11,9,4,7
190,Yes,1,3,1,1,7,Y,No,4,1,80,10,2,4,5,4,0,4
192,No,3,3,1,4,5,Y,No,3,2,80,9,2,2,6,5,0,3
193,No,4,3,2,3,3,Y,Yes,4,2,80,19,2,3,3,2,2,2
194,No,1,3,1,3,1,Y,No,3,3,80,5,4,2,5,4,0,4
195,No,4,1,2,4,0,Y,No,3,4,80,9,2,4,8,7,0,7
197,No,4,3,1,1,5,Y,No,3,4,80,8,3,3,3,2,2,2
198,No,2,2,1,4,0,Y,No,3,4,80,6,3,3,5,3,1,2
199,No,4,2,4,1,4,Y,No,3,2,80,21,2,2,7,6,7,7
200,No,3,3,1,1,2,Y,No,4,4,80,7,2,3,5,0,1,4
201,No,2,3,1,2,1,Y,No,3,4,80,1,3,3,1,0,0,0
202,No,2,3,2,2,1,Y,No,3,1,80,20,2,3,20,7,2,13
204,No,3,3,3,2,1,Y,No,3,1,80,10,3,3,10,8,0,6
205,No,2,3,2,3,2,Y,Yes,4,4,80,13,3,1,7,7,4,5
206,No,2,3,2,2,8,Y,No,3,3,80,20,2,1,17,9,0,15
207,No,2,3,3,4,1,Y,No,3,4,80,9,2,3,9,8,3,7
208,No,4,3,2,3,1,Y,No,3,1,80,10,1,3,10,7,0,9
211,No,2,2,2,3,2,Y,No,3,3,80,10,2,3,1,0,0,0
214,No,2,2,1,2,4,Y,Yes,4,2,80,9,3,2,1,0,0,0
215,No,3,2,3,4,7,Y,No,3,1,80,15,2,2,12,11,2,11
216,No,3,3,1,3,6,Y,No,3,4,80,6,3,3,4,3,1,2
217,No,3,3,1,4,1,Y,No,4,1,80,2,6,3,2,2,2,2
218,No,4,3,1,2,6,Y,No,3,4,80,6,1,1,2,2,2,2
221,No,3,3,1,4,1,Y,No,3,3,80,5,2,1,5,2,0,2
223,No,3,4,3,4,3,Y,Yes,3,2,80,12,2,1,5,3,1,4
224,No,3,2,1,3,1,Y,Yes,3,4,80,1,2,2,1,1,0,1
226,No,3,3,5,2,3,Y,No,3,2,80,21,5,3,5,4,4,4
227,No,1,3,1,3,4,Y,No,3,1,80,13,2,3,9,8,1,8
228,No,2,3,3,4,2,Y,No,3,3,80,12,2,3,10,9,7,4
230,No,1,2,2,4,4,Y,No,4,3,80,12,2,4,8,3,0,7
231,No,3,3,1,3,3,Y,No,4,1,80,8,2,3,5,4,1,4
233,No,3,3,1,2,0,Y,Yes,3,4,80,6,3,2,5,2,1,1
235,Yes,3,1,1,1,0,Y,No,4,1,80,1,5,4,0,0,0,0
238,No,4,3,1,2,4,Y,No,3,3,80,13,3,2,8,7,7,2
239,No,3,3,2,1,1,Y,No,3,3,80,12,4,3,12,9,6,10
240,No,3,3,2,1,4,Y,Yes,3,1,80,9,3,4,5,4,0,3
241,No,3,3,1,1,4,Y,Yes,3,3,80,19,3,3,2,2,2,2
242,No,3,3,1,4,0,Y,No,3,1,80,4,2,4,3,1,0,2
243,Yes,2,2,1,4,1,Y,No,4,3,80,1,3,2,1,0,1,0
244,No,2,3,3,1,1,Y,No,4,3,80,24,2,3,24,13,15,7
245,No,3,3,1,4,1,Y,No,3,3,80,2,3,3,2,2,2,1
246,No,3,3,1,4,8,Y,Yes,4,3,80,7,0,3,4,2,0,2
247,No,4,3,1,2,2,Y,No,3,4,80,9,3,3,3,2,1,2
248,Yes,2,3,1,2,1,Y,Yes,4,4,80,4,5,2,4,3,0,2
249,No,3,2,1,3,2,Y,No,3,4,80,5,2,2,3,2,0,2
250,No,4,4,2,1,1,Y,No,3,3,80,5,3,3,4,2,1,3
252,No,4,3,1,2,1,Y,No,3,4,80,8,5,3,8,7,1,6
253,No,4,3,5,3,1,Y,No,3,2,80,21,2,3,20,8,9,9
254,No,3,4,5,2,8,Y,No,3,4,80,36,3,3,24,15,2,15
256,No,4,2,2,3,1,Y,No,3,3,80,10,2,2,10,9,1,9
258,No,4,3,4,2,3,Y,No,3,3,80,21,6,3,7,7,1,0
259,No,3,2,5,3,0,Y,No,3,1,80,34,5,3,33,18,11,9
260,No,4,3,1,2,1,Y,No,3,4,80,7,2,2,7,7,0,3
261,Yes,2,2,2,3,3,Y,Yes,3,1,80,8,1,3,1,0,0,1
262,No,4,4,1,4,4,Y,No,3,4,80,7,3,4,5,4,2,2
264,No,1,2,4,4,9,Y,No,4,4,80,22,1,3,20,8,11,8
267,No,2,4,1,1,1,Y,Yes,3,1,80,8,3,2,8,7,1,7
269,No,2,3,2,2,5,Y,No,3,4,80,10,5,3,6,2,1,2
270,No,3,3,2,3,2,Y,No,3,2,80,11,5,3,5,3,0,2
271,No,4,3,2,3,9,Y,No,3,2,80,14,3,3,1,0,0,0
273,No,4,3,2,4,3,Y,No,3,1,80,9,3,1,7,7,1,7
274,No,3,2,2,1,5,Y,No,3,3,80,6,1,3,2,2,2,0
275,No,4,3,2,4,1,Y,Yes,3,1,80,7,0,3,7,7,1,7
277,No,4,3,1,3,1,Y,Yes,3,4,80,5,4,4,5,3,2,0
281,No,3,3,2,4,8,Y,Yes,3,3,80,15,2,4,7,2,3,7
282,Yes,2,3,2,1,7,Y,Yes,3,2,80,17,2,3,1,0,0,0
283,Yes,2,3,3,4,1,Y,No,4,4,80,10,3,2,10,4,1,9
284,No,4,4,1,2,1,Y,Yes,3,1,80,4,2,2,4,2,2,2
286,No,2,3,1,4,1,Y,No,3,1,80,8,2,3,8,1,1,7
287,No,4,2,2,4,9,Y,No,3,4,80,5,5,1,3,2,0,2
288,No,4,3,3,1,7,Y,No,3,3,80,17,3,3,4,2,0,3
291,Yes,4,1,3,4,1,Y,No,3,3,80,14,2,2,14,8,9,8
292,No,3,2,3,3,1,Y,No,4,3,80,12,2,3,11,8,5,8
293,No,4,3,2,3,1,Y,No,3,4,80,7,2,3,7,7,0,7
296,No,2,2,3,2,5,Y,No,3,4,80,16,5,1,10,9,4,7
297,Yes,4,3,1,1,5,Y,Yes,3,3,80,8,5,3,5,2,0,4
298,No,4,3,3,4,3,Y,Yes,3,3,80,16,3,3,1,0,0,0
299,Yes,3,2,2,1,5,Y,No,3,3,80,9,5,2,6,3,0,1
300,Yes,3,3,1,3,0,Y,No,3,4,80,7,1,2,6,2,1,5
302,No,4,2,3,4,6,Y,No,3,4,80,23,2,3,19,7,12,8
303,No,4,3,2,1,2,Y,No,3,4,80,16,4,3,6,2,0,5
304,No,4,3,2,2,8,Y,No,3,4,80,16,3,4,13,11,3,7
305,No,3,2,1,2,6,Y,No,4,4,80,7,3,3,3,2,1,1
306,No,2,3,3,4,1,Y,Yes,3,3,80,10,1,3,10,8,0,7
307,No,1,3,3,3,0,Y,No,3,3,80,17,6,2,16,10,5,13
308,No,3,1,2,3,0,Y,No,3,4,80,6,2,3,5,4,1,4
309,No,3,2,1,4,3,Y,No,3,1,80,7,6,3,1,0,0,0
311,No,1,3,1,4,4,Y,No,3,3,80,13,2,3,9,8,5,8
312,No,2,3,3,4,1,Y,No,3,4,80,11,5,3,11,10,4,1
314,No,3,3,3,3,1,Y,No,3,1,80,10,3,4,10,7,0,8
315,Yes,3,2,1,4,1,Y,Yes,3,3,80,4,3,2,4,3,0,1
316,No,3,2,1,4,7,Y,No,3,2,80,6,3,2,2,2,2,2
319,No,3,3,5,4,1,Y,No,3,4,80,22,3,3,22,17,11,15
321,No,2,3,1,3,8,Y,No,3,4,80,7,2,2,2,2,2,2
323,No,4,3,5,4,3,Y,No,3,3,80,32,3,2,7,0,0,6
325,Yes,3,3,1,4,5,Y,Yes,3,3,80,8,2,1,5,4,0,4
327,No,4,3,4,4,5,Y,Yes,4,3,80,22,3,3,17,13,1,9
328,Yes,1,3,1,1,7,Y,No,4,1,80,13,3,4,9,7,1,7
329,No,1,2,5,3,1,Y,Yes,3,4,80,33,2,4,33,7,15,12
330,No,3,3,1,2,2,Y,No,3,1,80,6,5,3,4,3,1,2
331,Yes,4,2,1,3,0,Y,Yes,3,4,80,4,2,1,3,2,1,2
332,No,3,3,1,3,7,Y,No,3,3,80,7,1,3,3,2,1,2
333,No,3,3,2,4,0,Y,No,3,1,80,4,2,3,3,2,2,2
334,No,3,3,2,1,2,Y,No,3,1,80,17,2,2,1,0,0,0
335,No,1,3,2,4,1,Y,No,3,1,80,9,3,3,9,8,4,7
336,No,3,4,5,4,0,Y,No,3,3,80,25,2,3,24,0,1,7
337,No,2,3,3,3,9,Y,No,3,1,80,9,3,3,2,2,2,2
338,No,3,2,1,4,1,Y,No,3,3,80,2,2,2,2,2,0,2
339,No,4,2,2,1,6,Y,No,3,2,80,13,3,3,11,9,5,9
340,No,3,2,1,1,2,Y,No,3,1,80,17,2,2,3,1,0,2
341,No,1,4,2,3,4,Y,No,3,4,80,9,1,3,3,2,0,2
342,Yes,1,3,3,3,6,Y,No,3,2,80,17,5,3,1,0,0,0
343,No,3,3,3,3,0,Y,No,4,4,80,20,1,3,19,6,11,8
346,No,3,3,1,4,1,Y,No,3,1,80,6,1,3,6,5,1,5
347,No,4,4,2,1,3,Y,Yes,3,3,80,10,1,3,3,2,0,2
349,No,4,3,2,4,2,Y,No,3,4,80,10,2,3,3,2,0,2
350,No,1,3,2,3,0,Y,No,3,4,80,5,3,3,4,2,1,2
351,No,4,2,1,1,0,Y,Yes,3,3,80,10,4,3,9,6,7,8
352,No,1,3,5,3,0,Y,No,3,4,80,22,5,3,21,7,3,9
353,No,3,3,1,4,1,Y,No,3,2,80,1,0,2,1,0,0,0
355,Yes,3,2,1,2,0,Y,No,3,2,80,6,2,4,5,4,1,4
359,No,2,4,1,2,1,Y,No,4,3,80,5,3,1,5,1,0,3
361,No,4,2,2,4,3,Y,No,3,4,80,13,0,3,8,7,7,5
362,No,4,2,2,1,4,Y,No,3,4,80,9,5,3,6,2,0,4
363,No,3,1,4,2,3,Y,Yes,3,2,80,28,2,2,7,7,7,7
364,Yes,1,3,1,3,2,Y,No,3,3,80,5,5,1,0,0,0,0
366,No,1,2,2,2,2,Y,No,3,2,80,10,2,3,0,0,0,0
367,No,2,2,2,4,0,Y,No,4,2,80,10,2,3,9,0,7,8
369,No,2,4,2,1,1,Y,No,3,4,80,6,2,3,6,3,1,5
372,No,3,3,4,4,0,Y,Yes,3,2,80,21,2,3,20,7,4,10
373,No,4,3,1,4,0,Y,No,3,3,80,16,4,3,15,13,10,11
374,No,4,3,5,1,0,Y,Yes,3,3,80,37,2,3,36,10,4,13
376,Yes,1,3,3,2,1,Y,Yes,3,4,80,10,2,2,10,7,9,9
377,No,4,3,1,4,1,Y,No,4,4,80,5,3,2,5,2,0,4
378,No,3,3,2,4,4,Y,No,3,2,80,7,5,4,5,4,0,1
379,No,4,2,1,3,1,Y,No,3,1,80,3,4,4,3,2,1,0
380,No,1,3,3,4,2,Y,Yes,3,1,80,15,2,3,5,2,0,2
381,No,2,4,3,2,7,Y,No,3,2,80,10,6,2,7,7,6,2
382,No,1,4,2,1,1,Y,Yes,4,3,80,8,3,3,8,0,7,7
384,No,3,3,2,2,1,Y,No,4,1,80,6,6,1,6,5,1,4
385,No,1,3,5,2,3,Y,No,3,1,80,28,4,2,10,4,1,6
386,No,3,3,4,3,3,Y,Yes,3,4,80,21,5,2,5,3,1,3
387,No,2,3,2,3,1,Y,No,4,3,80,20,3,3,20,16,11,6
388,No,2,3,2,4,1,Y,No,3,1,80,10,3,2,10,7,0,9
389,No,2,3,2,4,3,Y,Yes,3,4,80,12,4,3,10,7,0,8
390,No,1,3,2,1,1,Y,Yes,3,3,80,5,3,3,5,3,3,3
391,No,4,3,1,4,1,Y,No,3,2,80,17,3,3,17,12,5,7
392,Yes,4,3,1,3,3,Y,Yes,4,4,80,19,0,1,1,0,0,0
393,No,4,3,2,4,9,Y,No,3,2,80,10,2,3,2,2,1,2
394,Yes,1,3,1,2,2,Y,Yes,3,4,80,5,2,3,3,2,0,2
395,No,4,3,1,4,1,Y,No,4,4,80,5,3,3,5,3,0,2
396,No,3,3,5,1,9,Y,Yes,3,4,80,22,4,3,3,2,1,2
397,No,3,3,2,2,4,Y,No,3,4,80,10,2,3,8,0,7,7
399,No,4,3,1,2,1,Y,No,3,3,80,2,5,2,2,2,2,2
401,Yes,4,2,2,4,1,Y,Yes,3,2,80,8,0,3,8,7,7,4
403,No,2,3,1,4,1,Y,Yes,3,3,80,4,3,2,4,2,1,2
404,No,3,3,4,2,5,Y,No,3,4,80,23,2,4,20,4,4,8
405,Yes,3,3,1,3,1,Y,No,3,3,80,0,2,3,0,0,0,0
406,No,3,3,3,2,0,Y,No,3,3,80,12,3,2,11,9,6,9
407,No,3,4,1,4,4,Y,No,3,4,80,4,2,3,1,0,0,0
408,No,4,1,2,2,5,Y,No,3,4,80,13,3,3,4,1,1,2
410,No,4,3,4,2,1,Y,No,3,2,80,22,2,3,22,10,0,4
411,No,4,2,1,3,1,Y,No,3,1,80,0,2,3,0,0,0,0
412,No,2,4,2,1,0,Y,No,3,3,80,9,2,3,8,3,0,7
416,No,2,4,2,4,4,Y,No,3,2,80,10,3,2,8,7,7,7
417,No,3,4,3,4,0,Y,No,3,1,80,19,5,2,18,10,3,7
419,No,2,3,2,2,7,Y,No,3,3,80,11,3,3,9,8,0,8
420,No,4,2,2,3,1,Y,No,3,3,80,13,3,2,13,8,4,8
421,No,1,2,3,2,3,Y,No,3,3,80,19,2,3,10,8,0,1
422,No,4,1,2,3,2,Y,Yes,3,4,80,12,2,3,5,3,1,2
423,No,3,3,1,4,0,Y,Yes,3,3,80,6,4,3,5,2,0,3
424,No,1,2,2,1,3,Y,No,3,4,80,9,1,3,2,2,1,0
425,No,1,3,3,1,1,Y,No,3,1,80,24,2,3,24,9,9,11
426,No,3,3,1,4,0,Y,Yes,3,2,80,3,2,1,2,2,2,2
428,No,4,3,3,2,6,Y,No,3,2,80,12,2,3,10,6,8,8
429,No,3,3,4,1,1,Y,Yes,3,4,80,21,3,3,21,9,11,10
430,No,3,3,1,4,0,Y,No,3,1,80,9,5,3,8,7,1,7
431,No,3,2,4,3,7,Y,Yes,3,4,80,25,2,3,7,1,0,7
433,Yes,3,2,2,2,2,Y,No,3,1,80,11,3,2,8,2,7,7
434,No,3,3,1,2,1,Y,Yes,3,2,80,4,2,2,4,3,1,2
436,No,3,2,2,2,1,Y,Yes,3,4,80,13,2,3,13,12,11,9
437,No,4,3,2,3,1,Y,Yes,3,1,80,5,3,3,5,4,0,4
438,No,4,3,2,4,4,Y,No,3,4,80,13,3,3,7,7,1,7
439,No,1,4,2,4,7,Y,No,3,3,80,10,0,2,7,7,0,7
440,Yes,1,1,1,4,5,Y,Yes,3,4,80,5,4,2,3,2,2,2
441,No,4,3,2,4,1,Y,No,3,4,80,11,2,3,10,8,1,9
442,No,3,2,3,3,1,Y,No,4,1,80,10,2,3,10,9,8,9
444,No,3,2,5,4,1,Y,No,3,1,80,21,2,3,21,9,13,3
445,Yes,4,3,2,3,4,Y,Yes,3,1,80,12,3,2,1,0,0,0
446,No,2,2,2,4,3,Y,No,3,3,80,9,6,2,7,7,0,1
447,No,4,3,5,3,4,Y,No,3,2,80,21,2,3,3,2,1,1
448,No,3,2,2,3,1,Y,No,3,2,80,9,3,4,9,7,0,0
449,No,3,3,2,2,0,Y,Yes,3,4,80,6,0,3,5,4,1,4
450,No,4,3,2,3,3,Y,No,3,4,80,20,4,2,4,3,0,3
451,No,3,3,3,1,8,Y,No,3,1,80,10,1,2,1,0,0,0
452,No,4,3,2,4,9,Y,No,3,1,80,12,3,3,10,9,9,8
453,No,2,1,2,4,2,Y,Yes,4,3,80,6,2,2,4,3,0,2
454,Yes,2,1,1,1,1,Y,Yes,3,4,80,7,4,2,7,7,0,7
455,No,2,2,1,4,0,Y,No,3,3,80,4,2,3,3,2,2,2
456,No,4,2,2,3,1,Y,No,3,3,80,10,2,3,10,9,1,2
458,No,2,3,2,2,1,Y,No,3,1,80,8,3,3,8,7,0,7
460,No,4,3,2,4,7,Y,No,3,3,80,8,2,2,6,2,0,4
461,No,3,2,3,4,0,Y,Yes,3,2,80,12,3,3,11,10,2,9
462,No,3,3,3,4,1,Y,Yes,3,3,80,11,2,2,11,9,4,10
463,No,4,2,2,2,1,Y,Yes,3,1,80,7,2,3,7,7,1,7
